sku,nombre,marca,precio_normal,precio_internet,precio_sbpay,precio_fonasa,descuento_internet_pct,url,imagen,categoria_1,categoria_2,categoria_3,tipo_venta,requiere_receta,bioequivalente,retiro_tienda,despacho_domicilio,stock_global,disponible_comuna,region,comuna,capturado_en
588121,Beautycare Sensitive SPF50 Loción Facial 50ml,Hawaiian Tropic,12199,12199,,,,https://salcobrand.cl/products/beautycare-sensitive-spf50-locion-facial-50ml?default_sku=588121,https://static.salcobrand.cl/spree/products/118537/small/588121_1.jpg?1724099089,Cuidado Personal,Cuidado Personal > Protección Solar,Cuidado Personal > Protección Solar > Protectores Solares,normal,False,False,True,True,True,False,Tarapaca,Iquique,2026-07-29T07:06:09-04:00
588121,Beautycare Sensitive SPF50 Loción Facial 50ml,Hawaiian Tropic,12199,12199,,,,https://salcobrand.cl/products/beautycare-sensitive-spf50-locion-facial-50ml?default_sku=588121,https://static.salcobrand.cl/spree/products/118537/small/588121_1.jpg?1724099089,Cuidado Personal,Cuidado Personal > Protección Solar,Cuidado Personal > Protección Solar > Protectores Solares,normal,False,False,True,True,True,False,Arica y Parinacota,Arica,2026-07-29T07:06:09-04:00
588121,Beautycare Sensitive SPF50 Loción Facial 50ml,Hawaiian Tropic,12199,12199,,,,https://salcobrand.cl/products/beautycare-sensitive-spf50-locion-facial-50ml?default_sku=588121,https://static.salcobrand.cl/spree/products/118537/small/588121_1.jpg?1724099089,Cuidado Personal,Cuidado Personal > Protección Solar,Cuidado Personal > Protección Solar > Protectores Solares,normal,False,False,True,True,True,False,Antofagasta,Antofagasta,2026-07-29T07:06:09-04:00
2680006,Crema Facial Piel Sensible Facielle 30g,Facielle,20799,20799,,,,https://salcobrand.cl/products/crema-facial-facielle-antired?default_sku=2680006,https://static.salcobrand.cl/spree/products/61227/small/2680006.jpg?1641328928,Dermocoaching,Dermocoaching > Tipos de Piel,Dermocoaching > Tipos de Piel > Piel Sensible y Rosacea,normal,False,False,True,True,True,False,Tarapaca,Iquique,2026-07-29T07:06:09-04:00
2680006,Crema Facial Piel Sensible Facielle 30g,Facielle,20799,20799,,,,https://salcobrand.cl/products/crema-facial-facielle-antired?default_sku=2680006,https://static.salcobrand.cl/spree/products/61227/small/2680006.jpg?1641328928,Dermocoaching,Dermocoaching > Tipos de Piel,Dermocoaching > Tipos de Piel > Piel Sensible y Rosacea,normal,False,False,True,True,True,False,Arica y Parinacota,Arica,2026-07-29T07:06:09-04:00
2680006,Crema Facial Piel Sensible Facielle 30g,Facielle,20799,20799,,,,https://salcobrand.cl/products/crema-facial-facielle-antired?default_sku=2680006,https://static.salcobrand.cl/spree/products/61227/small/2680006.jpg?1641328928,Dermocoaching,Dermocoaching > Tipos de Piel,Dermocoaching > Tipos de Piel > Piel Sensible y Rosacea,normal,False,False,True,True,True,False,Antofagasta,Antofagasta,2026-07-29T07:06:09-04:00
583929,Mascarilla Desintoxicante de Carbón y Arcilla 30g,Tessa,22299,22299,,,,https://salcobrand.cl/products/mascarilla-desintoxicante-de-carbon-y-arcilla-30g?default_sku=583929,https://static.salcobrand.cl/spree/products/87078/small/583929.jpg?1675698353,Dermocoaching,Dermocoaching > Rostro,Dermocoaching > Rostro > Limpieza,normal,False,False,True,True,True,False,Tarapaca,Iquique,2026-07-29T07:06:09-04:00
583929,Mascarilla Desintoxicante de Carbón y Arcilla 30g,Tessa,22299,22299,,,,https://salcobrand.cl/products/mascarilla-desintoxicante-de-carbon-y-arcilla-30g?default_sku=583929,https://static.salcobrand.cl/spree/products/87078/small/583929.jpg?1675698353,Dermocoaching,Dermocoaching > Rostro,Dermocoaching > Rostro > Limpieza,normal,False,False,True,True,True,False,Arica y Parinacota,Arica,2026-07-29T07:06:09-04:00
583929,Mascarilla Desintoxicante de Carbón y Arcilla 30g,Tessa,22299,22299,,,,https://salcobrand.cl/products/mascarilla-desintoxicante-de-carbon-y-arcilla-30g?default_sku=583929,https://static.salcobrand.cl/spree/products/87078/small/583929.jpg?1675698353,Dermocoaching,Dermocoaching > Rostro,Dermocoaching > Rostro > Limpieza,normal,False,False,True,True,True,False,Antofagasta,Antofagasta,2026-07-29T07:06:09-04:00
588497,Toallitas Húmedas Aqua Baby 240 Unidades,Aqua Baby,10199,10199,,,,https://salcobrand.cl/products/toallitas-humedas-aqua-baby-240-unidades?default_sku=588497,https://static.salcobrand.cl/spree/products/123350/small/588497.jpg?1728414762,Infantil y Mamá,Infantil y Mamá > Mundo Pañales,Infantil y Mamá > Mundo Pañales > Mudado,normal,False,False,True,True,True,False,Tarapaca,Iquique,2026-07-29T07:06:09-04:00
